Date,Link,Day,Season,Team,Opp,Site,Final,Rest,Line,Total,SUm,ATSm,OUm,DPS,DPA,SUr,ATSr,OUr,"ot
Jan","07,",2015,recap,Wed,2014,Warriors,Pacers,home,117-102,1&1,-11.5,203.0,15,3.5,16.0,9.8,6.2,W,W,O,0
Mar","18,",2016,recap,Fri,2015,Mavericks,Warriors,home,112-130,1&1,9.0,226.5,-18,-9.0,15.5,3.2,12.2,L,L,O,0
Mar","23,",2016,recap,Wed,2015,Warriors,Clippers,home,114-98,1&2,-10.0,223.5,16,6.0,-11.5,-2.8,-8.8,W,W,U,0
Mar","30,",2016,recap,Wed,2015,Hawks,Raptors,away,97-105,1&1,-0.0,201.0,-8,-8.0,1.0,-3.5,4.5,L,L,O,0
Apr","09,",2016,recap,Sat,2015,Celtics,Hawks,away,107-118,0&1,5.5,207.0,-11,-5.5,18.0,6.2,11.8,L,L,O,0
Nov","16,",2016,recap,Wed,2016,Warriors,Raptors,away,127-121,2&0,-5.5,222.5,6,0.5,25.5,13.0,12.5,W,W,O,0
Nov","18,",2016,recap,Fri,2016,Warriors,Celtics,away,104-88,1&1,-8.5,225.0,16,7.5,-33.0,-12.8,-20.2,W,W,U,0
Nov","19,",2016,recap,Sat,2016,Warriors,Bucks,away,124-121,0&1,-8.0,220.0,3,-5.0,25.0,10.0,15.0,W,L,O,0
Nov","21,",2016,recap,Mon,2016,Warriors,Pacers,away,120-83,1&0,-14.5,218.0,37,22.5,-15.0,3.8,-18.8,W,W,U,0
Nov","23,",2016,recap,Wed,2016,Warriors,Lakers,home,149-106,1&0,-17.5,230.0,43,25.5,25.0,25.2,-0.2,W,W,O,0
Nov","25,",2016,recap,Fri,2016,Warriors,Lakers,away,109-85,1&1,-13.0,229.5,24,11.0,-35.5,-12.2,-23.2,W,W,U,0
Nov","26,",2016,recap,Sat,2016,Warriors,Timberwolves,home,115-102,0&0,-13.5,222.0,13,-0.5,-5.0,-2.8,-2.2,W,L,U,0
Dec","08,",2016,recap,Thu,2016,Warriors,Jazz,away,106-99,0&1,-8.5,208.5,7,-1.5,-3.5,-2.5,-1.0,W,L,U,0
Dec","09,",2016,recap,Fri,2016,Raptors,Celtics,away,101-94,0&1,1.5,207.5,7,8.5,-12.5,-2.0,-10.5,W,W,U,0
Dec","16,",2016,recap,Fri,2016,Magic,Nets,home,118-111,1&1,-7.0,218.5,7,0.0,10.5,5.2,5.2,W,P,O,0
Dec","18,",2016,recap,Sun,2016,Magic,Raptors,home,79-109,1&1,5.0,213.5,-30,-25.0,-25.5,-25.2,-0.2,L,L,U,0
Dec","20,",2016,recap,Tue,2016,Warriors,Jazz,home,104-74,2&1,-12.5,209.5,30,17.5,-31.5,-7.0,-24.5,W,W,U,0
Dec","22,",2016,recap,Thu,2016,Warriors,Nets,away,117-101,1&1,-13.5,230.0,16,2.5,-12.0,-4.8,-7.2,W,W,U,0
Dec","23,",2016,recap,Fri,2016,Warriors,Pistons,away,119-113,0&1,-7.5,214.5,6,-1.5,17.5,8.0,9.5,W,L,O,0
Dec","30,",2016,recap,Fri,2016,Bucks,Timberwolves,away,99-116,1&1,1.5,209.5,-17,-15.5,5.5,-5.0,10.5,L,L,O,0
Jan","05,",2017,recap,Thu,2016,Nuggets,Spurs,home,99-127,1&1,7.5,214.0,-28,-20.5,12.0,-4.2,16.2,L,L,O,0
Jan","07,",2017,recap,Sat,2016,Pacers,Knicks,home,123-109,1&0,-7.5,216.5,14,6.5,15.5,11.0,4.5,W,W,O,0
Jan","10,",2017,recap,Tue,2016,Spurs,Bucks,home,107-109,2&1,-9.5,203.5,-2,-11.5,12.5,0.5,12.0,L,L,O,0
Jan","13,",2017,recap,Fri,2016,Trailblazers,Magic,home,109-115,1&1,-7.0,213.0,-6,-13.0,11.0,-1.0,12.0,L,L,O,0
Jan","18,",2017,recap,Wed,2016,Warriors,Thunder,home,121-100,1&1,-13.5,228.0,21,7.5,-7.0,0.2,-7.2,W,W,U,0
Jan","20,",2017,recap,Fri,2016,Warriors,Rockets,away,125-108,1&1,-5.5,238.0,17,11.5,-5.0,3.2,-8.2,W,W,U,0
Jan","22,",2017,recap,Sun,2016,Warriors,Magic,away,118-98,1&1,-14.0,224.5,20,6.0,-8.5,-1.2,-7.2,W,W,U,0
Jan","24,",2017,recap,Tue,2016,Spurs,Raptors,away,108-106,0&1,0.0,207.5,2,2.0,6.5,4.2,2.2,W,W,O,0
Feb","15,",2017,recap,Wed,2016,Warriors,Kings,home,109-86,1&0,-18.5,224.0,23,4.5,-29.0,-12.2,-16.8,W,W,U,0
Feb","23,",2017,recap,Thu,2016,Warriors,Clippers,home,123-113,7&7,-12.5,230.5,10,-2.5,5.5,1.5,4.0,W,L,O,0
Feb","25,",2017,recap,Sat,2016,Cavaliers,Bulls,home,99-117,1&0,-6.0,211.5,-18,-24.0,4.5,-9.8,14.2,L,L,O,0
Mar","02,",2017,recap,Thu,2016,Bulls,Warriors,home,94-87,1&1,6.5,217.0,7,13.5,-36.0,-11.2,-24.8,W,W,U,0
Apr","02,",2017,recap,Sun,2016,Hornets,Thunder,away,113-101,1&1,4.5,213.5,12,16.5,0.5,8.5,-8.0,W,W,O,0
Apr","04,",2017,recap,Tue,2016,Warriors,Timberwolves,home,121-107,1&0,-14.0,219.0,14,0.0,9.0,4.5,4.5,W,P,O,0
Apr","05,",2017,recap,Wed,2016,Warriors,Suns,away,120-111,0&2,-9.0,228.0,9,0.0,3.0,1.5,1.5,W,P,O,0
Apr","07,",2017,recap,Fri,2016,Nuggets,Pelicans,home,122-106,1&2,-7.5,229.5,16,8.5,-1.5,3.5,-5.0,W,W,U,0
Apr","16,",2017,recap,Sun,2016,Celtics,Bulls,home,102-106,3&3,-7.0,206.5,-4,-11.0,1.5,-4.8,6.2,L,L,O,0
May","04,",2017,recap,Thu,2016,Warriors,Jazz,home,115-104,1&1,-13.0,206.0,11,-2.0,13.0,5.5,7.5,W,L,O,0
May","06,",2017,recap,Sat,2016,Warriors,Jazz,away,102-91,1&1,-6.0,207.5,11,5.0,-14.5,-4.8,-9.8,W,W,U,0
May","19,",2017,recap,Fri,2016,Celtics,Cavaliers,home,86-130,1&1,5.5,220.0,-44,-38.5,-4.0,-21.2,17.2,L,L,U,0
Dec","08,",2017,recap,Fri,2017,Raptors,Grizzlies,away,116-107,2&1,-6.0,202.0,9,3.0,21.0,12.0,9.0,W,W,O,0
Dec","19,",2017,recap,Tue,2017,Cavaliers,Bucks,away,116-119,1&2,-1.0,217.0,-3,-4.0,18.0,7.0,11.0,L,L,O,0
Jan","04,",2018,recap,Thu,2017,Warriors,Rockets,away,124-114,0&0,-4.5,230.0,10,5.5,8.0,6.8,1.2,W,W,O,0
Jan","06,",2018,recap,Sat,2017,Warriors,Clippers,away,121-105,1&1,-9.5,226.0,16,6.5,0.0,3.2,-3.2,W,W,P,0
Jan","08,",2018,recap,Mon,2017,Warriors,Nuggets,home,124-114,1&1,-10.5,227.5,10,-0.5,10.5,5.0,5.5,W,L,O,0
