Date,Link,Day,Season,Team,Opp,Site,Final,Rest,Line,Total,SUm,ATSm,OUm,DPS,DPA,SUr,ATSr,OUr,"ot
Feb","27,",2015,recap,Fri,2014,Rockets,Nets,home,102-98,1&1,-7.0,206.5,4,-3.0,-6.5,-4.8,-1.8,W,L,U,0
Mar","29,",2015,recap,Sun,2014,Rockets,Wizards,away,99-91,1&1,-2.0,204.0,8,6.0,-14.0,-4.0,-10.0,W,W,U,0
May","27,",2015,recap,Wed,2014,Warriors,Rockets,home,104-90,1&1,-10.0,216.5,14,4.0,-22.5,-9.2,-13.2,W,W,U,0
Jan","13,",2016,recap,Wed,2015,Trailblazers,Jazz,home,99-85,2&2,-3.0,191.5,14,11.0,-7.5,1.8,-9.2,W,W,U,0
Jan","14,",2016,recap,Thu,2015,Cavaliers,Spurs,away,95-99,1&1,6.0,196.0,-4,2.0,-2.0,0.0,-2.0,L,W,U,0
Jan","27,",2016,recap,Wed,2015,Hornets,Jazz,away,73-102,1&1,6.5,192.0,-29,-22.5,-17.0,-19.8,2.8,L,L,U,0
Mar","23,",2016,recap,Wed,2015,Trailblazers,Mavericks,home,109-103,2&2,-6.0,212.5,6,0.0,-0.5,-0.2,-0.2,W,P,U,0
Mar","27,",2016,recap,Sun,2015,Warriors,Seventysixers,home,117-105,1&0,-21.5,225.0,12,-9.5,-3.0,-6.2,3.2,W,L,U,0
Apr","16,",2016,recap,Sat,2015,Warriors,Rockets,home,104-78,2&2,-13.5,225.5,26,12.5,-43.5,-15.5,-28.0,W,W,U,0
May","06,",2016,recap,Fri,2015,Cavaliers,Hawks,away,121-108,1&1,-2.5,199.0,13,10.5,30.0,20.2,9.8,W,W,O,0
Nov","02,",2016,recap,Wed,2016,Rockets,Knicks,away,118-99,0&0,-0.0,218.0,19,19.0,-1.0,9.0,-10.0,W,W,U,0
Nov","27,",2016,recap,Sun,2016,Rockets,Trailblazers,away,130-114,1&1,-2.0,226.0,16,14.0,18.0,16.0,2.0,W,W,O,0
Dec","17,",2016,recap,Sat,2016,Rockets,Timberwolves,away,111-109,0&3,-2.5,220.0,2,-0.5,0.0,-0.2,0.2,W,L,P,1
Dec","26,",2016,recap,Mon,2016,Rockets,Suns,home,131-115,2&2,-13.0,230.5,16,3.0,15.5,9.2,6.2,W,W,O,0
Jan","02,",2017,recap,Mon,2016,Rockets,Wizards,home,101-91,1&2,-8.5,229.5,10,1.5,-37.5,-18.0,-19.5,W,W,U,0
Jan","16,",2017,recap,Mon,2016,Celtics,Hornets,home,108-98,2&2,-5.5,215.5,10,4.5,-9.5,-2.5,-7.0,W,W,U,0
Jan","17,",2017,recap,Tue,2016,Rockets,Heat,away,103-109,1&3,-7.0,221.0,-6,-13.0,-9.0,-11.0,2.0,L,L,U,0
Feb","02,",2017,recap,Thu,2016,Warriors,Clippers,away,133-120,0&0,-8.5,229.5,13,4.5,23.5,14.0,9.5,W,W,O,0
Feb","25,",2017,recap,Sat,2016,Rockets,Timberwolves,home,142-130,1&0,-12.0,229.5,12,0.0,42.5,21.2,21.2,W,P,O,0
Mar","04,",2017,recap,Sat,2016,Cavaliers,Heat,away,92-120,0&0,8.0,210.0,-28,-20.0,2.0,-9.0,11.0,L,L,O,"0
Mar","04,",2017,recap,Sat,2016,Rockets,Grizzlies,home,123-108,2&0,-8.5,221.0,15,6.5,10.0,8.2,1.8,W,W,O,0
Mar","08,",2017,recap,Wed,2016,Warriors,Celtics,home,86-99,1&1,-8.0,221.5,-13,-21.0,-36.5,-28.8,-7.8,L,L,U,0
Apr","10,",2017,recap,Mon,2016,Cavaliers,Heat,away,121-124,0&1,4.5,210.0,-3,1.5,35.0,18.2,16.8,L,W,O,1
Apr","23,",2017,recap,Sun,2016,Cavaliers,Pacers,away,106-102,2&2,-3.5,213.0,4,0.5,-5.0,-2.2,-2.8,W,W,U,0
May","03,",2017,recap,Wed,2016,Rockets,Spurs,away,96-121,1&1,5.5,216.0,-25,-19.5,1.0,-9.2,10.2,L,L,O,0
Jun","12,",2017,recap,Mon,2016,Cavaliers,Warriors,away,120-129,2&2,8.5,231.0,-9,-0.5,18.0,8.8,9.2,L,L,O,0
Oct","28,",2017,recap,Sat,2017,Rockets,Grizzlies,away,89-103,0&1,2.0,203.0,-14,-12.0,-11.0,-11.5,0.5,L,L,U,0
Nov","18,",2017,recap,Sat,2017,Rockets,Grizzlies,away,105-83,1&2,-8.0,213.5,22,14.0,-25.5,-5.8,-19.8,W,W,U,0
Nov","27,",2017,recap,Mon,2017,Rockets,Nets,home,117-103,1&0,-17.5,226.5,14,-3.5,-6.5,-5.0,-1.5,W,L,U,0
Nov","29,",2017,recap,Wed,2017,Rockets,Pacers,home,118-97,1&1,-12.0,223.0,21,9.0,-8.0,0.5,-8.5,W,W,U,0
Jan","18,",2018,recap,Thu,2017,Celtics,Seventysixers,home,80-89,1&2,-2.5,204.5,-9,-11.5,-35.5,-23.5,-12.0,L,L,U,0
Jan","26,",2018,recap,Fri,2017,Rockets,Pelicans,away,113-115,1&1,-3.5,228.0,-2,-5.5,0.0,-2.8,2.8,L,L,P,0
Feb","14,",2018,recap,Wed,2017,Rockets,Kings,home,100-91,0&0,-14.0,214.5,9,-5.0,-23.5,-14.2,-9.2,W,L,U,0
Mar","06,",2018,recap,Tue,2017,Rockets,Thunder,away,122-112,2&2,-5.0,222.0,10,5.0,12.0,8.5,3.5,W,W,O,"0
Mar","06,",2018,recap,Tue,2017,Nets,Warriors,away,101-114,1&3,14.0,230.0,-13,1.0,-15.0,-7.0,-8.0,L,W,U,0
Mar","21,",2018,recap,Wed,2017,Seventysixers,Grizzlies,home,119-105,1&1,-13.0,212.0,14,1.0,12.0,6.5,5.5,W,W,O,0
Mar","25,",2018,recap,Sun,2017,Rockets,Hawks,home,118-99,0&1,-13.5,216.5,19,5.5,0.5,3.0,-2.5,W,W,O,0
Mar","27,",2018,recap,Tue,2017,Rockets,Bulls,home,118-86,1&2,-17.0,213.5,32,15.0,-9.5,2.8,-12.2,W,W,U,0
Apr","01,",2018,recap,Sun,2017,Thunder,Pelicans,away,109-104,1&1,-1.0,226.0,5,4.0,-13.0,-4.5,-8.5,W,W,U,0
Apr","04,",2018,recap,Wed,2017,Mavericks,Magic,away,100-105,0&0,3.5,198.0,-5,-1.5,7.0,2.8,4.2,L,L,O,0
Apr","09,",2018,recap,Mon,2017,Nets,Bulls,home,114-105,1&1,-7.0,219.0,9,2.0,0.0,1.0,-1.0,W,W,P,"0
Apr","09,",2018,recap,Mon,2017,Pistons,Raptors,home,98-108,0&0,6.0,208.5,-10,-4.0,-2.5,-3.2,0.8,L,L,U,0
Apr","11,",2018,recap,Wed,2017,Cavaliers,Knicks,home,98-110,1&1,-8.5,213.5,-12,-20.5,-5.5,-13.0,7.5,L,L,U,0
Apr","29,",2018,recap,Sun,2017,Rockets,Jazz,home,110-96,3&1,-11.5,206.5,14,2.5,-0.5,1.0,-1.5,W,W,U,0
Oct","22,",2018,recap,Mon,2018,Jazz,Grizzlies,home,84-92,2&2,-10.0,213.5,-8,-18.0,-37.5,-27.8,-9.8,L,L,U,0
Oct","24,",2018,recap,Wed,2018,Hawks,Mavericks,home,111-104,2&1,1.5,233.5,7,8.5,-18.5,-5.0,-13.5,W,W,U,0
Oct","27,",2018,recap,Sat,2018,Bucks,Magic,home,113-91,0&1,-9.5,220.0,22,12.5,-16.0,-1.8,-14.2,W,W,U,0
Oct","31,",2018,recap,Wed,2018,Warriors,Pelicans,home,131-121,1&1,-10.5,238.0,10,-0.5,14.0,6.8,7.2,W,L,O,0
Nov","01,",2018,recap,Thu,2018,Bucks,Celtics,away,113-117,2&1,3.0,221.5,-4,-1.0,8.5,3.8,4.8,L,L,O,0
Nov","03,",2018,recap,Sat,2018,Celtics,Pacers,away,101-102,1&0,-2.5,207.5,-1,-3.5,-4.5,-4.0,-0.5,L,L,U,0
Nov","05,",2018,recap,Mon,2018,Celtics,Nuggets,away,107-115,1&1,2.5,209.5,-8,-5.5,12.5,3.5,9.0,L,L,O,0
Nov","06,",2018,recap,Tue,2018,Bucks,Trailblazers,away,103-118,1&1,-1.0,228.0,-15,-16.0,-7.0,-11.5,4.5,L,L,U,0
Nov","11,",2018,recap,Sun,2018,Pistons,Hornets,home,103-113,1&1,-2.5,221.5,-10,-12.5,-5.5,-9.0,3.5,L,L,U,0
Nov","13,",2018,recap,Tue,2018,Rockets,Nuggets,away,109-99,1&1,4.0,213.5,10,14.0,-5.5,4.2,-9.8,W,W,U,0
Nov","21,",2018,recap,Wed,2018,Rockets,Pistons,home,126-124,3&1,-8.5,214.5,2,-6.5,35.5,14.5,21.0,W,L,O,0
Nov","26,",2018,recap,Mon,2018,Hornets,Bucks,home,110-107,0&1,4.5,234.0,3,7.5,-17.0,-4.8,-12.2,W,W,U,0
Dec","01,",2018,recap,Sat,2018,Rockets,Bulls,home,121-105,0&0,-13.5,221.0,16,2.5,5.0,3.8,1.2,W,W,O,0
Dec","06,",2018,recap,Thu,2018,Celtics,Knicks,home,128-100,4&2,-13.5,218.0,28,14.5,10.0,12.2,-2.2,W,W,O,0
Dec","07,",2018,recap,Fri,2018,Magic,Pacers,home,90-112,1&2,-1.5,205.5,-22,-23.5,-3.5,-13.5,10.0,L,L,U,0
